"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","218","Ошибка при создании пользователя без заполнения обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","200","Ошибка при создании заказа без ингредиентов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","212","Ошибка при создании пользователя без заполнения обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","283","Успешный вход под существующим пользователем","tests","2026-09-23","passed","2026-09-23","TestLoginUser","test_login_user","",""
"","408","Создание заказа без авторизации","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","288","Ошибка при создании пользователя без заполнения обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","206","Ошибка при создании заказа с неверным хешем ингредиентов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","221","Ошибка при создании уже зарегистрированного пользователя","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","202","Ошибка входа с неверным логином и паролем","tests","2026-09-23","passed","2026-09-23","TestLoginUser","test_login_user","",""
"","4266","Создание заказа с авторизацией и ингредиентами","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","1","Успешное создание уникального пользователя","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
